O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
4.34,8.89,4.78,6.45,2.33,6.62,5.62,3.56,3.34,7.67,Airline Pilot
4.14,8.69,4.58,6.25,2.13,6.42,5.42,3.36,3.14,7.47,Airline Pilot
4.34,8.89,4.78,6.45,5.45,4.86,3.13,1.92,4.84,3.46,Airline Pilot
4.34,8.89,4.78,6.45,2.33,4.86,3.13,2.86,4.84,3.46,Airline Pilot
4.14,8.69,4.58,6.25,2.13,4.72,2.99,2.84,4.68,3.32,Airline Pilot
5.35,9.9,5.79,7.46,6.46,5.57,3.83,2.02,5.65,4.17,Airline Pilot
5.35,9.9,5.79,7.46,3.34,5.57,3.83,2.96,5.65,4.17,Airline Pilot
5.15,9.7,5.59,7.26,3.14,5.43,3.69,2.94,5.49,4.03,Airline Pilot
8.45,7.01,5.34,5.45,4.56,7.73,5.4,4.95,6.51,6.23,Architect
8.45,7.01,5.34,5.45,4.56,5.34,5.29,1.44,6.33,5.32,Architect
9.46,8.02,6.35,6.46,5.57,6.05,6,1.54,7.14,6.02,Architect
9.47,8.01,6.36,6.45,5.58,6.04,6.01,1.53,7.15,6.01,Architect
9.45,8.03,6.34,6.47,5.56,6.06,5.99,1.55,7.13,6.03,Architect
9.47,8.03,6.36,6.47,5.58,6.06,6.01,1.55,7.15,6.03,Architect
9.45,8.01,6.34,6.45,5.56,6.04,5.99,1.53,7.13,6.01,Architect
9.34,3.56,7.23,6.78,5.45,6.45,7.01,6.34,7.4,5.17,Artist
9.33,3.55,7.22,6.77,5.44,6.44,7,6.33,7.39,5.16,Artist
9.35,3.57,7.24,6.79,5.46,6.46,7.02,6.35,7.41,5.18,Artist
9.33,3.57,7.22,6.79,5.44,6.46,7,6.35,7.39,5.18,Artist
9.35,3.54,7.24,6.77,5.46,6.44,7.02,6.33,7.41,5.16,Artist
9.34,3.56,7.23,6.78,5.45,4.23,6.12,0.21,5.74,6.03,Artist
9.35,3.57,7.24,6.79,5.46,4.24,6.13,0.23,5.75,6.04,Artist
9.33,3.55,7.22,6.77,5.44,4.22,6.11,0.22,5.73,6.02,Artist
9.33,3.57,7.22,6.79,5.44,4.24,6.11,0.23,5.73,6.04,Artist
9.35,3.55,7.24,6.77,5.46,4.22,6.13,0.22,5.75,6.02,Artist
8.1,4.57,8.24,7.79,6.46,4.26,5.7,0.11,5.42,5.61,Artist
8.09,4.58,8.23,7.8,6.45,4.27,5.69,0.12,5.41,5.62,Artist
8.11,4.56,8.25,7.78,6.47,4.25,5.71,0.1,5.43,5.62,Artist
8.11,4.58,8.25,7.8,6.47,4.27,5.71,0.12,5.43,5.62,Artist
8.09,4.56,8.23,7.78,6.45,4.25,5.69,0.1,5.41,5.62,Artist
9.45,8.01,4.67,5.56,4.01,8.73,5.12,4.34,6.73,6.79,Astronomer
9.46,8,4.68,5.55,4.02,8.72,5.13,4.33,6.74,6.78,Astronomer
9.44,8.02,4.66,5.57,4,8.74,5.11,4.35,6.72,6.8,Astronomer
9.46,8.02,4.68,5.57,4.02,8.74,5.13,4.35,6.74,6.8,Astronomer
9.44,8,4.66,5.55,4,8.72,5.11,4.33,6.72,6.78,Astronomer
9.45,8.01,4.67,5.56,4.01,6.04,5.66,2,7.13,5.84,Astronomer
9.46,8,4.68,5.55,4.02,6.03,5.67,1.99,7.14,5.83,Astronomer
9.44,8.02,4.66,5.57,4,6.05,5.65,2.01,7.12,5.85,Astronomer
9.46,8.02,4.68,5.57,4.02,6.05,5.67,2.01,7.14,5.85,Astronomer
9.44,8,4.66,5.55,4,6.03,5.65,1.99,7.12,5.83,Astronomer
8.23,9.02,5.68,6.57,5.02,6.08,5.25,2.1,6.82,5.43,Astronomer
8.24,9.01,5.69,6.56,5.03,6.07,5.26,2.09,6.83,5.42,Astronomer
8.22,9.03,5.67,6.58,5.01,6.09,5.24,2.11,6.81,5.44,Astronomer
8.24,9.03,5.69,6.58,5.03,6.09,5.26,2.11,6.83,5.44,Astronomer
8.22,9.01,5.67,6.56,5.01,6.07,5.24,2.09,6.81,5.42,Astronomer
5.12,9.23,4.34,5.45,2.67,7.18,4.9,3.51,3.9,7.34,Aviation Safety Inspector
5.12,9.23,4.34,5.45,2.67,5.23,3.43,2.89,5.33,3.65,Aviation Safety Inspector
6.13,10.24,5.35,6.46,3.68,5.94,4.14,2.99,6.14,4.36,Aviation Safety Inspector
6.14,10.23,5.36,6.45,3.69,5.93,4.15,2.98,6.15,4.35,Aviation Safety Inspector
6.12,10.25,5.34,6.47,3.67,5.95,4.13,3,6.13,4.37,Aviation Safety Inspector
6.14,10.25,5.36,6.47,3.69,5.95,4.15,3,6.15,4.37,Aviation Safety Inspector
6.12,10.23,5.34,6.45,3.67,5.93,4.13,2.98,6.13,4.35,Aviation Safety Inspector
7.01,7.78,5.23,9.12,6.01,7.4,7.18,5.62,6.51,8.45,Behaviour Therapist
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Behaviour Therapist
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Behaviour Therapist
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Behaviour Therapist
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Behaviour Therapist
7.02,8.79,6.24,9.12,7.46,5.62,4.76,1.28,6.15,5.33,Behaviour Therapist
8.78,7.67,3.67,6.45,5.34,8.23,5.06,4.51,7.06,7.06,Biologist
8.78,7.67,3.67,6.45,5.34,5.7,5.12,1.47,6.69,5.68,Biologist
9.79,8.68,4.68,7.46,6.35,6.41,5.83,1.57,7.5,6.39,Biologist
9.78,8.69,4.67,7.47,6.34,6.42,5.82,1.58,7.49,6.4,Biologist
9.8,8.67,4.69,7.45,6.36,6.4,5.84,1.56,7.51,6.38,Biologist
9.8,8.69,4.69,7.47,6.36,6.42,5.84,1.58,7.51,6.4,Biologist
9.78,8.67,4.67,7.45,6.34,6.4,5.82,1.56,7.49,6.38,Biologist
7.89,7.67,4.01,5.23,4.56,7.78,4.62,4.29,6.23,6.45,Biomedical Engineer
7.89,7.67,4.01,5.23,4.56,5.44,4.75,1.7,6.25,4.99,Biomedical Engineer
8.9,8.68,5.02,6.24,5.57,6.14,5.45,1.8,7.05,5.7,Biomedical Engineer
8.91,8.67,5.03,6.23,5.58,6.13,5.46,1.79,7.06,5.6,Biomedical Engineer
8.89,8.69,5.01,6.25,5.56,6.15,5.44,1.81,7.04,5.8,Biomedical Engineer
8.91,8.69,5.03,6.25,5.58,6.15,5.46,1.81,7.06,5.8,Biomedical Engineer
8.89,8.67,5.01,6.23,5.56,6.13,5.44,1.79,7.04,5.6,Biomedical Engineer
9.23,7.67,4.23,5.12,4.67,8.45,4.68,4.45,6.95,6.4,Biomedical Researcher
9.43,7.87,4.43,5.32,4.87,8.65,4.88,4.65,7.15,6.6,Biomedical Researcher
9.23,7.67,4.23,5.12,4.67,5.84,5.46,1.67,6.92,5.64,Biomedical Researcher
9.43,7.87,4.43,5.32,4.87,5.98,5.6,1.69,7.08,5.78,Biomedical Researcher
9.1,8.68,5.24,6.13,5.68,6.2,5.6,1.77,7.15,5.78,Biomedical Researcher
8.34,8.88,5.44,6.33,5.88,6.05,5.26,1.79,6.83,5.44,Biomedical Researcher
8.78,7.67,4.01,5.23,4.56,8.23,4.62,4.29,6.67,6.45,Biotechnologist
8.77,7.68,4,5.24,4.55,8.24,4.61,4.3,6.66,6.46,Biotechnologist
8.79,7.66,4.02,5.22,4.57,8.22,4.63,4.28,6.68,6.44,Biotechnologist
8.79,7.68,4.02,5.24,4.57,8.24,4.63,4.3,6.68,6.46,Biotechnologist
8.77,7.66,4,5.22,4.55,8.22,4.61,4.28,6.66,6.44,Biotechnologist
8.78,7.67,4.01,5.23,4.56,5.7,5.19,1.7,6.69,5.44,Biotechnologist
8.77,7.68,4,5.24,4.55,5.71,5.18,1.71,6.68,5.45,Biotechnologist
8.79,7.66,4.02,5.22,4.57,5.69,5.2,1.69,6.68,5.45,Biotechnologist
8.79,7.68,4.02,5.24,4.57,5.71,5.2,1.71,6.7,5.45,Biotechnologist
8.77,7.66,4,5.22,4.55,5.69,5.18,1.69,6.68,5.43,Biotechnologist
9.79,8.68,5.02,6.24,5.57,6.41,5.9,1.8,7.5,6.14,Biotechnologist
9.78,8.69,5.01,6.25,5.56,6.42,5.89,1.81,7.49,6.15,Biotechnologist
9.8,8.67,5.03,6.23,5.58,6.4,5.91,1.79,7.51,6.13,Biotechnologist
9.8,8.69,5.03,6.25,5.58,6.42,5.91,1.81,7.51,6.15,Biotechnologist
9.78,8.67,5.01,6.23,5.56,6.4,5.89,1.79,7.49,6.13,Biotechnologist
6.78,6.45,8.45,7.67,4.56,6.62,8.06,6.51,5.67,7.06,Chef
6.77,6.46,8.44,7.68,4.55,6.63,8.05,6.52,5.66,7.07,Chef
6.79,6.44,8.46,7.66,4.57,6.61,8.07,6.5,5.68,7.05,Chef
6.79,6.46,8.46,7.68,4.57,6.63,8.07,6.52,5.68,7.07,Chef
6.77,6.44,8.44,7.66,4.55,6.61,8.05,6.5,5.66,7.05,Chef
6.78,6.45,8.45,7.67,4.56,9.79,8.68,5.02,6.24,5.57,Chef
6.77,6.46,8.44,7.68,4.55,9.78,8.69,5.01,6.25,5.56,Chef
6.79,6.44,8.46,7.66,4.57,9.8,8.67,5.03,6.23,5.58,Chef
6.79,6.46,8.46,7.68,4.57,9.8,8.69,5.03,6.25,5.58,Chef
6.77,6.44,8.44,7.66,4.55,9.78,8.67,5.01,6.23,5.56,Chef
7.79,7.46,9.46,8.68,5.57,5.32,5.79,1.31,6.13,5.63,Chef
7.8,7.45,9.47,8.67,5.58,5.31,5.8,1.3,6.14,5.62,Chef
7.78,7.47,9.45,8.69,5.56,5.33,5.78,1.32,6.12,5.64,Chef
7.8,7.47,9.47,8.69,5.58,5.33,5.8,1.32,6.14,5.64,Chef
7.78,7.45,9.45,8.67,5.56,5.31,5.78,1.3,6.12,5.62,Chef
6.01,7.67,5.23,9.12,6.45,6.84,7.18,5.84,6.23,8.4,Chiropractor
6.21,7.87,5.43,9.32,6.65,7.04,7.38,6.04,6.43,8.6,Chiropractor
6.01,7.67,5.23,9.12,6.45,4.87,4.05,1.13,5.31,4.83,Chiropractor
6.21,7.87,5.43,9.32,6.65,5.01,4.19,1.15,5.47,4.97,Chiropractor
7.02,8.68,6.24,9.12,7.46,5.58,4.76,1.23,6.11,5.33,Chiropractor
7.22,8.88,7.65,8.23,7.66,5.72,5.14,1.25,6.27,5.26,Chiropractor
6.78,8.67,4.23,5.23,4.67,7.73,4.73,4.45,5.73,6.95,Civil Engineer
6.98,8.87,4.43,5.43,4.87,7.93,4.93,4.65,5.93,7.15,Civil Engineer
6.78,8.67,4.23,5.23,4.67,5.5,4.24,2.07,5.99,4.44,Civil Engineer
6.98,8.87,4.43,5.43,4.87,5.64,4.38,2.09,6.15,4.58,Civil Engineer
7.79,9.68,5.24,6.24,5.68,6.21,4.94,2.17,6.8,5.14,Civil Engineer
7.99,9.88,5.44,6.44,5.88,6.35,5.08,2.19,6.96,5.28,Civil Engineer
9.43,7.87,4.43,5.32,4.87,8.65,4.88,4.65,7.15,6.6,Clinical  Researc coordinator
9.44,7.86,4.44,5.31,4.88,8.64,4.89,4.64,7.16,6.59,Clinical  Researc coordinator
9.42,7.88,4.42,5.33,4.86,8.66,4.87,4.66,7.14,6.61,Clinical  Researc coordinator
9.44,7.88,4.44,5.33,4.88,8.66,4.89,4.66,7.16,6.61,Clinical  Researc coordinator
9.42,7.86,4.42,5.31,4.86,8.64,4.87,4.64,7.14,6.59,Clinical  Researc coordinator
9.43,7.87,4.43,5.32,4.87,6.78,6.45,8.45,7.67,4.56,Clinical  Researc coordinator
9.44,7.86,4.44,5.31,4.88,6.77,6.46,8.44,7.68,4.55,Clinical  Researc coordinator
9.42,7.88,4.42,5.33,4.86,6.79,6.44,8.46,7.66,4.57,Clinical  Researc coordinator
9.44,7.88,4.44,5.33,4.88,6.79,6.46,8.46,7.68,4.57,Clinical  Researc coordinator
9.42,7.86,4.42,5.31,4.86,6.77,6.44,8.44,7.66,4.55,Clinical  Researc coordinator
9.34,8.88,5.44,6.33,5.88,6.35,5.76,1.79,7.33,5.94,Clinical  Researc coordinator
4.57,6.77,5.68,3.22,2.9,6.34,5.77,1.78,7.34,5.93,Clinical  Researc coordinator
4.55,6.79,5.66,3.24,2.88,6.36,5.75,1.8,7.32,5.95,Clinical  Researc coordinator
4.57,6.79,5.68,3.24,2.9,6.36,5.77,1.8,7.34,5.95,Clinical  Researc coordinator
4.55,6.77,5.66,3.22,2.88,6.34,5.75,1.78,7.32,5.93,Clinical  Researc coordinator
4.56,6.78,5.67,3.23,2.89,5.67,4.45,4.28,3.73,5.01,Construction Engineer
4.57,6.77,5.68,3.22,2.9,5.66,4.46,4.27,3.74,5,Construction Engineer
4.55,6.79,5.66,3.24,2.88,5.68,4.44,4.29,3.72,5.02,Construction Engineer
4.57,6.79,5.68,3.24,2.9,5.68,4.46,4.29,3.74,5.02,Construction Engineer
4.55,6.77,5.66,3.22,2.88,5.66,4.44,4.27,3.72,5,Construction Engineer
4.56,6.78,5.67,3.23,2.89,9.34,8.88,5.44,6.33,5.88,Construction Engineer
4.57,6.77,5.68,3.22,2.9,4.57,6.77,5.68,3.22,2.9,Construction Engineer
4.55,6.79,5.66,3.24,2.88,4.55,6.79,5.66,3.24,2.88,Construction Engineer
4.57,6.79,5.68,3.24,2.9,4.57,6.79,5.68,3.24,2.9,Construction Engineer
4.55,6.77,5.66,3.22,2.88,4.55,6.77,5.66,3.22,2.88,Construction Engineer
5.57,7.79,6.68,4.24,3.9,4.79,4.12,1.95,5.12,3.63,Construction Engineer
5.58,7.78,6.69,4.23,3.91,4.78,4.13,1.94,5.13,3.62,Construction Engineer
5.56,7.8,6.67,4.25,3.89,4.8,4.11,1.96,5.11,3.64,Construction Engineer
5.58,7.8,6.69,4.25,3.91,4.8,4.13,1.96,5.13,3.64,Construction Engineer
5.56,7.78,6.67,4.23,3.89,4.78,4.11,1.94,5.11,3.62,Construction Engineer
6.87,7.54,8.87,8.09,5.65,7.21,8.48,7.26,6.26,7.82,Corporate Communications Manager
6.88,7.53,8.88,8.08,5.66,7.2,8.49,7.25,6.27,7.81,Corporate Communications Manager
6.86,7.55,8.86,8.1,5.64,7.22,8.47,7.27,6.25,7.83,Corporate Communications Manager
6.88,7.55,8.88,8.1,5.66,7.22,8.49,7.27,6.27,7.83,Corporate Communications Manager
6.86,7.53,8.86,8.08,5.64,7.2,8.47,7.25,6.25,7.81,Corporate Communications Manager
6.87,7.54,8.87,8.09,5.65,5.57,7.79,6.68,4.24,3.9,Corporate Communications Manager
6.88,7.53,8.88,8.08,5.66,5.58,7.78,6.69,4.23,3.91,Corporate Communications Manager
6.86,7.55,8.86,8.1,5.64,5.56,7.8,6.67,4.25,3.89,Corporate Communications Manager
6.88,7.55,8.88,8.1,5.66,5.58,7.8,6.69,4.25,3.91,Corporate Communications Manager
6.86,7.53,8.86,8.08,5.64,5.56,7.78,6.67,4.23,3.89,Corporate Communications Manager
7.88,8.55,9.88,9.1,6.66,5.78,5.92,1.42,6.51,5.76,Corporate Communications Manager
7.89,8.54,9.89,9.09,6.67,5.77,5.93,1.41,6.52,5.75,Corporate Communications Manager
7.87,8.56,9.87,9.11,6.65,5.79,5.91,1.43,6.5,5.77,Corporate Communications Manager
7.89,8.56,9.89,9.11,6.67,5.79,5.93,1.43,6.52,5.77,Corporate Communications Manager
7.87,8.54,9.87,9.09,6.65,5.77,5.91,1.41,6.5,5.75,Corporate Communications Manager
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Counsellor
6.02,7.77,5.24,9.33,6.46,6.89,7.3,5.83,6.24,8.55,Counsellor
6,7.79,5.22,9.35,6.44,6.91,7.28,5.85,6.22,8.57,Counsellor
6.02,7.79,5.24,9.35,6.46,6.91,7.3,5.85,6.24,8.57,Counsellor
6,7.77,5.22,9.33,6.44,6.89,7.28,5.83,6.22,8.55,Counsellor
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Counsellor
6.02,7.77,5.24,9.33,6.46,4.91,4.06,1.17,5.35,4.86,Counsellor
6,7.79,5.22,9.35,6.44,4.93,4.04,1.19,5.33,4.88,Counsellor
6.02,7.79,5.24,9.35,6.46,4.93,4.06,1.19,5.35,4.88,Counsellor
6,7.77,5.22,9.33,6.44,4.91,4.04,1.17,5.33,4.86,Counsellor
7.02,8.79,6.24,8.23,7.46,5.62,4.76,1.28,6.15,5.16,Counsellor
7.03,8.78,6.25,8.22,7.47,5.61,4.77,1.27,6.16,5.15,Counsellor
7.01,8.8,6.23,8.24,7.45,5.63,4.75,1.29,6.14,5.17,Counsellor
7.03,8.8,6.25,8.24,7.47,5.63,4.77,1.29,6.16,5.17,Counsellor
7.01,8.78,6.23,8.22,7.45,5.61,4.75,1.27,6.14,5.15,Counsellor
2.67,8.78,7.67,8.45,6.45,5.73,8.06,7.06,4.56,8.62,Customs and Border Protection Officer
2.87,8.98,7.87,8.65,6.65,5.93,8.26,7.26,4.76,8.82,Customs and Border Protection Officer
2.67,8.78,7.67,8.45,6.45,4.31,2.87,1.58,3.97,3.03,Customs and Border Protection Officer
2.87,8.98,7.87,8.65,6.65,4.45,3.01,1.6,4.13,3.17,Customs and Border Protection Officer
3.68,9.79,8.68,9.46,7.46,5.02,3.58,1.68,4.78,3.73,Customs and Border Protection Officer
3.88,9.99,8.88,9.66,7.66,5.16,3.72,1.7,4.94,3.87,Customs and Border Protection Officer
6.67,8.23,5.12,6.01,4.45,7.45,5.57,4.79,5.56,7.12,Data Analyst
6.68,8.22,5.13,6,4.46,7.69,9.23,6.14,7.01,5.47,Data Analyst
6.66,8.24,5.11,6.02,4.44,7.67,9.25,6.12,7.03,5.45,Data Analyst
6.68,8.24,5.13,6.02,4.46,7.69,9.25,6.14,7.03,5.47,Data Analyst
6.66,8.22,5.11,6,4.44,7.67,9.23,6.12,7.01,5.45,Data Analyst
6.67,8.23,5.12,6.01,4.45,5.29,4.36,1.96,5.8,4.54,Data Analyst
6.68,8.22,5.13,6,4.46,5.28,4.37,1.95,5.81,4.53,Data Analyst
6.66,8.24,5.11,6.02,4.44,5.3,4.35,1.97,5.79,4.55,Data Analyst
6.68,8.24,5.13,6.02,4.46,5.3,4.37,1.97,5.81,4.55,Data Analyst
6.66,8.22,5.11,6,4.44,5.28,4.35,1.95,5.79,4.53,Data Analyst
7.68,9.24,6.13,7.02,5.46,6,5.07,2.06,6.61,5.24,Data Analyst
7.69,9.23,6.14,7.01,5.47,5.99,5.08,2.05,6.62,5.23,Data Analyst
7.67,9.25,6.12,7.03,5.45,6.01,5.06,2.07,6.6,5.25,Data Analyst
7.69,9.25,6.14,7.03,5.47,6.01,5.08,2.07,6.62,5.25,Data Analyst
7.67,9.23,6.12,7.01,5.45,5.99,5.06,2.05,6.6,5.23,Data Analyst
6.78,7.23,3.89,5.12,4.67,7.01,4.51,4.28,5.73,6.18,Data Scientist
6.87,8.65,3.65,6.32,5.65,7.76,4.99,4.65,6.26,7.49,Data Scientist
6.78,7.23,3.89,5.12,4.67,4.93,4.17,1.49,5.56,4.41,Data Scientist
6.87,8.65,3.65,6.32,5.65,5.52,4.17,1.77,6.03,4.7,Data Scientist
7.79,8.24,4.9,6.13,5.68,5.63,4.88,1.59,6.37,5.12,Data Scientist
7.88,9.66,4.66,7.33,6.66,6.23,4.87,1.87,6.84,5.41,Data Scientist
6.67,8.45,3.45,6.12,5.45,7.56,4.79,4.45,6.06,7.29,Database Administrator
6.87,8.65,3.65,6.32,5.65,7.76,4.99,4.65,6.26,7.49,Database Administrator
6.67,8.45,3.45,6.12,5.45,5.38,4.03,1.75,5.87,4.56,Database Administrator
6.87,8.65,3.65,6.32,5.65,5.52,4.17,1.77,6.03,4.7,Database Administrator
7.68,9.46,4.46,7.13,6.46,6.09,4.73,1.85,6.68,5.27,Database Administrator
7.88,9.66,4.66,7.33,6.66,6.23,4.87,1.87,6.84,5.41,Database Administrator
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,Database Analyst
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,Database Analyst
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,Database Analyst
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,Database Analyst
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,Database Analyst
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,Database Analyst
7.43,8.65,5.65,9.32,6.21,8.04,7.49,5.93,6.82,8.99,Dental Assistat
7.44,8.64,5.66,9.31,6.22,8.03,7.5,5.92,6.83,8.98,Dental Assistat
7.42,8.66,5.64,9.33,6.2,8.05,7.48,5.94,6.81,9,Dental Assistat
7.44,8.66,5.66,9.33,6.22,8.05,7.5,5.94,6.83,9,Dental Assistat
7.42,8.64,5.64,9.31,6.2,8.03,7.48,5.92,6.81,8.98,Dental Assistat
7.43,8.65,5.65,9.32,6.21,5.69,4.85,1.6,6.31,5.58,Dental Assistat
7.44,8.64,5.66,9.31,6.22,5.68,4.86,1.59,6.32,5.57,Dental Assistat
7.42,8.66,5.64,9.33,6.2,5.7,4.84,1.61,6.3,5.59,Dental Assistat
7.44,8.66,5.66,9.33,6.22,5.7,4.86,1.61,6.32,5.59,Dental Assistat
7.42,8.64,5.64,9.31,6.2,5.68,4.84,1.59,6.3,5.57,Dental Assistat
8.44,9.66,6.66,7.54,7.22,6.4,5.55,1.7,7.12,5.73,Dental Assistat
8.45,9.65,6.67,7.53,7.23,6.39,5.56,1.69,7.13,5.72,Dental Assistat
8.43,9.67,6.65,7.55,7.21,6.41,5.54,1.71,7.11,5.74,Dental Assistat
8.45,9.67,6.67,7.55,7.23,6.41,5.56,1.71,7.13,5.74,Dental Assistat
8.43,9.65,6.65,7.53,7.21,6.39,5.54,1.69,7.11,5.72,Dental Assistat
7.23,8.34,5.45,9.12,6.01,7.79,7.29,5.73,6.62,8.73,Dental Hygienist
7.43,8.65,5.65,9.32,6.21,8.04,7.49,5.93,6.82,8.99,Dental Hygienist
7.23,8.45,5.45,9.12,6.01,7.84,7.29,5.73,6.62,8.79,Dental Hygienist
7.23,8.34,5.45,9.12,6.01,5.51,4.71,1.53,6.12,5.44,Dental Hygienist
7.43,8.65,5.65,9.32,6.21,5.69,4.85,1.6,6.31,5.58,Dental Hygienist
7.23,8.45,5.45,9.12,6.01,5.55,4.71,1.58,6.15,5.44,Dental Hygienist
8.24,9.35,6.46,9.23,7.02,6.21,5.41,1.63,6.93,5.97,Dental Hygienist
8.44,9.66,6.66,8.13,7.22,6.4,5.55,1.7,7.12,5.85,Dental Hygienist
8.24,9.46,6.46,10.13,7.02,6.26,5.41,1.68,6.96,6.15,Dental Hygienist
7.67,8.23,6.01,9.12,5.45,7.95,7.57,5.73,6.56,8.68,Diplomat
7.87,8.43,6.21,9.32,5.65,8.15,7.77,5.93,6.76,8.88,Diplomat
7.67,8.23,6.01,9.12,5.45,5.59,5.04,1.66,6.3,5.66,Diplomat
7.87,8.43,6.21,9.32,5.65,5.73,5.18,1.68,6.46,5.8,Diplomat
8.68,9.24,7.02,9.12,6.46,6.3,5.74,1.76,7.11,6.16,Diplomat
